Performing system checks...

System check identified no issues (0 silenced).
October 23, 2020 - 06:29:14
Django version 3.0.8, using settings 'backend.settings'
Starting development server at http://0.0.0.0:9898/
Quit the server with CONTROL-C.
[23/Oct/2020 12:52:28] "GET /api/image_raw?step=0&run=mnist&tag=input_reshape%2Finput%2Fimage%2F1&trainJobName=test HTTP/1.1" 200 435
[23/Oct/2020 12:52:28] "GET /api/image?run=mnist&tag=input_reshape%2Finput%2Fimage%2F2&trainJobName=test HTTP/1.1" 200 1052
[23/Oct/2020 12:52:28] "GET /api/image_raw?step=0&run=mnist&tag=input_reshape%2Finput%2Fimage%2F2&trainJobName=test HTTP/1.1" 200 276
[23/Oct/2020 12:52:28] "GET /api/image?run=mnist&tag=input_reshape%2Finput%2Fimage%2F3&trainJobName=test HTTP/1.1" 200 1052
[23/Oct/2020 12:52:28] "GET /api/image_raw?step=0&run=mnist&tag=input_reshape%2Finput%2Fimage%2F3&trainJobName=test HTTP/1.1" 200 330
[23/Oct/2020 12:52:28] "GET /api/image?run=mnist&tag=input_reshape%2Finput%2Fimage%2F4&trainJobName=test HTTP/1.1" 200 1052
[23/Oct/2020 12:52:28] "GET /api/image_raw?step=0&run=mnist&tag=input_reshape%2Finput%2Fimage%2F4&trainJobName=test HTTP/1.1" 200 300
[23/Oct/2020 12:52:28] "GET /api/image?run=mnist&tag=input_reshape%2Finput%2Fimage%2F5&trainJobName=test HTTP/1.1" 200 1052
[23/Oct/2020 12:52:29] "GET /api/image_raw?step=0&run=mnist&tag=input_reshape%2Finput%2Fimage%2F5&trainJobName=test HTTP/1.1" 200 399
[23/Oct/2020 12:52:29] "GET /api/image?run=mnist&tag=input_reshape%2Finput%2Fimage%2F6&trainJobName=test HTTP/1.1" 200 1052
[23/Oct/2020 12:52:29] "GET /api/image?run=mnist&tag=input_reshape%2Finput%2Fimage%2F7&trainJobName=test HTTP/1.1" 200 1052
[23/Oct/2020 12:52:29] "GET /api/image_raw?step=0&run=mnist&tag=input_reshape%2Finput%2Fimage%2F6&trainJobName=test HTTP/1.1" 200 309
[23/Oct/2020 12:52:29] "GET /api/image_raw?step=0&run=mnist&tag=input_reshape%2Finput%2Fimage%2F7&trainJobName=test HTTP/1.1" 200 371
[23/Oct/2020 12:52:29] "GET /api/image?run=mnist&tag=input_reshape%2Finput%2Fimage%2F8&trainJobName=test HTTP/1.1" 200 1052
[23/Oct/2020 12:52:29] "GET /api/image_raw?step=0&run=mnist&tag=input_reshape%2Finput%2Fimage%2F8&trainJobName=test HTTP/1.1" 200 371
[23/Oct/2020 12:52:29] "GET /api/image?run=mnist&tag=input_reshape%2Finput%2Fimage%2F9&trainJobName=test HTTP/1.1" 200 1052
[23/Oct/2020 12:52:29] "GET /api/image_raw?step=0&run=mnist&tag=input_reshape%2Finput%2Fimage%2F9&trainJobName=test HTTP/1.1" 200 307
[23/Oct/2020 12:52:33] "GET /api/image_raw?step=400&run=vgg&tag=input%2Fimage%2F1&trainJobName=test HTTP/1.1" 200 2341
[23/Oct/2020 12:52:33] "GET /api/image_raw?step=2800&run=vgg&tag=input%2Fimage%2F1&trainJobName=test HTTP/1.1" 200 2152
[23/Oct/2020 12:52:33] "GET /api/image_raw?step=5800&run=vgg&tag=input%2Fimage%2F1&trainJobName=test HTTP/1.1" 200 2179
[23/Oct/2020 12:52:33] "GET /api/image_raw?step=8200&run=vgg&tag=input%2Fimage%2F1&trainJobName=test HTTP/1.1" 200 2107
[23/Oct/2020 12:52:33] "GET /api/image_raw?step=10200&run=vgg&tag=input%2Fimage%2F1&trainJobName=test HTTP/1.1" 200 2499
[23/Oct/2020 12:52:34] "GET /api/image_raw?step=11800&run=vgg&tag=input%2Fimage%2F1&trainJobName=test HTTP/1.1" 200 2199
[23/Oct/2020 12:52:34] "GET /api/image_raw?step=13200&run=vgg&tag=input%2Fimage%2F1&trainJobName=test HTTP/1.1" 200 2472
[23/Oct/2020 12:52:34] "GET /api/image_raw?step=14200&run=vgg&tag=input%2Fimage%2F1&trainJobName=test HTTP/1.1" 200 2366
[23/Oct/2020 12:52:34] "GET /api/image_raw?step=15400&run=vgg&tag=input%2Fimage%2F1&trainJobName=test HTTP/1.1" 200 2140
[23/Oct/2020 12:52:34] "GET /api/image_raw?step=16000&run=vgg&tag=input%2Fimage%2F1&trainJobName=test HTTP/1.1" 200 2347
[23/Oct/2020 12:52:34] "GET /api/image_raw?step=16200&run=vgg&tag=input%2Fimage%2F1&trainJobName=test HTTP/1.1" 200 2196
[23/Oct/2020 12:52:34] "GET /api/image_raw?step=16600&run=vgg&tag=input%2Fimage%2F1&trainJobName=test HTTP/1.1" 200 2348
